,Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
34473,31,female,42176,master,8,swimming,645,suburban,91,130,fall,1,0,0
40447,35,non-binary,62554,bachelor,1,swimming,3941,urban,98,5,spring,0,0,0
3634,34,non-binary,89374,high school,0,sunbathing,4725,suburban,209,203,summer,1,1,0
40307,33,non-binary,104859,master,3,swimming,1664,rural,168,61,winter,1,1,0
22565,21,non-binary,23353,high school,9,sunbathing,2549,urban,24,65,summer,1,0,0
11954,50,female,112940,high school,7,sunbathing,1025,rural,180,15,fall,0,0,0
32497,41,non-binary,75186,doctorate,4,hiking,4210,rural,155,61,spring,0,1,0
5140,22,non-binary,119247,high school,7,sunbathing,3895,urban,26,5,spring,1,1,0
29263,41,non-binary,101864,doctorate,0,hiking,1095,suburban,96,93,summer,1,0,0
20286,40,male,27569,doctorate,8,swimming,2190,urban,31,187,summer,1,0,0
19863,18,female,66455,doctorate,7,sunbathing,4505,suburban,266,68,fall,0,1,0
43737,58,female,58235,doctorate,1,hiking,2393,suburban,274,117,summer,0,1,0
41569,32,non-binary,42629,doctorate,4,skiing,2333,suburban,110,97,fall,1,0,0
13439,41,female,109697,master,1,hiking,3418,rural,200,26,fall,1,0,0
27217,65,female,27220,doctorate,5,hiking,2111,urban,244,68,summer,0,0,0
27375,47,non-binary,58574,master,6,sunbathing,2876,suburban,287,241,summer,1,1,0
24154,49,non-binary,57630,high school,1,sunbathing,4145,suburban,33,245,winter,1,1,0
50536,29,male,95481,doctorate,0,swimming,2111,urban,212,42,spring,1,1,0
24726,33,male,50219,master,3,hiking,4200,rural,79,255,spring,0,1,1
23981,20,non-binary,99120,master,1,swimming,2240,suburban,208,176,winter,1,1,0
37430,38,male,36956,high school,2,sunbathing,4680,urban,72,281,fall,1,0,0
332,58,female,25970,high school,0,sunbathing,1400,suburban,246,248,summer,1,1,0
9202,37,non-binary,34873,master,0,swimming,3750,rural,271,231,fall,0,1,0
35946,29,female,119157,doctorate,4,sunbathing,566,suburban,244,147,spring,0,1,0
20135,60,male,48859,master,4,hiking,4558,urban,187,25,winter,0,1,0
30797,23,male,110152,master,9,hiking,596,urban,206,294,fall,0,1,1
15713,41,male,39235,doctorate,2,skiing,3353,suburban,235,184,fall,0,1,0
12824,29,non-binary,91518,high school,8,sunbathing,2595,suburban,101,176,fall,0,1,0
12455,62,non-binary,24354,doctorate,1,sunbathing,2991,urban,38,164,summer,0,1,0
45559,44,non-binary,29914,high school,2,sunbathing,519,rural,24,263,spring,0,0,0
51169,24,female,69964,doctorate,3,skiing,4888,suburban,213,128,winter,0,0,0
5846,41,male,30909,bachelor,0,sunbathing,1909,suburban,177,251,fall,1,0,0
35481,53,male,90857,master,3,skiing,1004,urban,96,10,summer,1,1,0
42665,67,female,36660,master,6,sunbathing,1909,suburban,122,237,spring,1,0,0
26892,63,non-binary,84151,doctorate,8,sunbathing,1539,urban,116,172,fall,0,0,0
12687,52,female,47876,bachelor,9,swimming,1738,suburban,128,295,summer,1,1,0
31008,24,female,99328,bachelor,3,sunbathing,4162,rural,241,27,fall,0,0,0
5224,28,female,60134,high school,2,hiking,2021,suburban,148,256,winter,0,1,1
746,52,non-binary,94140,bachelor,3,sunbathing,954,urban,179,74,summer,1,0,0
2016,55,male,100027,high school,6,swimming,2312,rural,62,213,winter,1,1,0
45923,46,female,29507,doctorate,0,swimming,3248,urban,209,157,winter,1,1,0
46562,44,non-binary,97797,high school,9,hiking,919,urban,206,198,summer,1,0,0
12106,45,female,34022,bachelor,8,hiking,2924,rural,109,250,spring,0,0,1
21913,43,female,59139,bachelor,5,swimming,3468,suburban,160,297,fall,1,1,0
52438,42,female,53330,doctorate,4,skiing,840,urban,155,200,summer,1,1,1
8172,23,female,101651,master,2,sunbathing,2244,urban,284,64,summer,0,0,0
49025,27,non-binary,68796,doctorate,4,sunbathing,3712,suburban,54,240,winter,0,0,0
46152,55,non-binary,56507,high school,7,skiing,764,suburban,112,6,fall,0,1,0
21708,27,female,51023,high school,7,swimming,4873,suburban,35,166,summer,1,0,0
6596,56,non-binary,55181,doctorate,1,sunbathing,1515,urban,240,173,spring,0,1,0
16881,69,non-binary,59156,doctorate,4,skiing,2631,suburban,85,297,summer,0,0,1
11747,28,female,52710,doctorate,5,skiing,1896,suburban,107,195,fall,0,1,1
35262,18,female,117270,high school,0,swimming,3163,urban,16,86,fall,1,0,0
14302,49,male,115988,doctorate,1,swimming,2383,suburban,184,239,spring,1,0,0
37570,54,female,31800,high school,8,swimming,540,rural,52,33,winter,0,0,0
31770,29,non-binary,91992,doctorate,1,sunbathing,1052,urban,158,23,summer,1,1,0
20019,49,male,39534,doctorate,7,hiking,4382,rural,167,274,winter,0,0,1
31777,62,male,83998,bachelor,3,swimming,3297,suburban,245,193,summer,0,1,0
19454,37,female,23300,doctorate,7,hiking,4021,urban,259,104,fall,0,0,0
44032,45,non-binary,115854,bachelor,7,hiking,4967,suburban,108,22,summer,1,1,0
193,18,non-binary,64532,master,8,swimming,1742,rural,6,168,winter,0,0,0
1557,36,female,56267,master,3,swimming,1423,rural,51,262,summer,0,1,0
5986,65,female,70610,master,0,hiking,1592,suburban,72,258,spring,1,1,1
46675,64,female,103015,doctorate,5,sunbathing,2411,urban,152,118,fall,1,1,0
35943,59,female,36631,bachelor,6,hiking,2739,rural,152,219,summer,0,0,1
37964,36,male,114899,bachelor,9,hiking,2783,suburban,10,163,spring,0,1,1
10630,19,non-binary,87136,master,6,skiing,3872,urban,104,99,winter,1,1,0
44838,69,female,53120,master,0,skiing,3589,urban,90,237,winter,0,0,1
6813,21,female,28285,master,4,skiing,4546,suburban,173,138,fall,0,0,0
23522,47,non-binary,117362,master,1,skiing,2455,rural,84,233,winter,1,1,1
6166,23,female,96891,high school,7,sunbathing,1911,suburban,130,193,fall,1,1,0
16681,68,male,34329,high school,9,swimming,667,rural,56,104,winter,1,1,0
7437,36,non-binary,107451,doctorate,7,sunbathing,2493,rural,1,76,winter,0,0,0
47938,47,female,45945,doctorate,1,hiking,2921,rural,33,129,spring,0,1,1
2596,61,female,44120,high school,8,swimming,3394,urban,242,128,fall,1,1,0
10430,34,non-binary,85089,master,7,hiking,1287,suburban,2,254,winter,0,0,1
17691,65,female,65015,master,4,swimming,1221,rural,108,137,winter,0,1,0
30963,31,male,72237,high school,3,swimming,4225,urban,177,258,winter,0,1,0
31203,40,non-binary,40298,master,6,swimming,3133,suburban,12,270,winter,0,0,0
11,28,non-binary,97902,high school,3,skiing,1747,urban,33,21,winter,1,0,0
22831,37,non-binary,113165,doctorate,3,swimming,756,suburban,130,166,fall,1,0,0
42989,29,non-binary,53177,bachelor,7,swimming,634,urban,218,219,summer,0,0,0
30732,55,non-binary,32949,high school,0,hiking,886,suburban,289,52,fall,0,1,0
50086,57,non-binary,67309,high school,1,skiing,3830,urban,138,83,fall,0,1,0
17135,54,non-binary,93838,high school,7,skiing,3577,urban,176,5,fall,0,0,0
18267,45,non-binary,53630,high school,4,sunbathing,645,suburban,224,128,spring,1,0,0
34472,43,male,107664,high school,9,hiking,2512,rural,133,270,fall,1,1,1
36300,69,female,49034,master,5,swimming,723,rural,178,246,summer,1,0,0
4766,66,non-binary,107887,bachelor,9,skiing,550,urban,155,264,winter,1,0,1
5728,65,non-binary,27410,high school,1,swimming,2984,rural,207,32,fall,1,1,0
48507,36,female,38648,doctorate,6,sunbathing,2773,suburban,187,187,spring,0,1,0
25527,64,female,67924,bachelor,7,swimming,2909,suburban,149,210,spring,1,1,0
27574,33,female,20449,master,2,swimming,4411,urban,210,272,spring,0,0,0
37220,37,male,100627,high school,5,sunbathing,815,rural,57,58,summer,0,0,0
20282,54,female,88618,master,3,sunbathing,3836,urban,208,187,winter,0,0,0
51856,62,non-binary,32691,high school,0,swimming,3967,urban,85,146,summer,0,1,0
22443,44,non-binary,44284,bachelor,0,sunbathing,4238,rural,2,141,summer,1,0,0
52129,56,female,37768,doctorate,6,skiing,561,urban,78,119,winter,0,0,1
19251,50,female,88885,doctorate,4,skiing,4924,suburban,33,183,summer,1,1,1
10547,23,male,87422,high school,4,hiking,1634,rural,238,125,spring,0,0,0
20470,30,female,41329,master,6,swimming,1998,rural,50,246,fall,0,1,0
52071,53,male,47778,master,7,swimming,1940,suburban,225,277,fall,0,0,0
21631,66,male,91402,doctorate,0,skiing,4807,suburban,128,130,spring,1,0,1
49089,61,female,68409,doctorate,7,hiking,4356,suburban,273,84,summer,0,1,0
33253,22,non-binary,61782,doctorate,7,skiing,516,rural,188,277,fall,1,1,1
37614,46,male,106972,doctorate,5,sunbathing,3910,urban,190,30,summer,1,1,0
49626,42,female,43134,doctorate,5,sunbathing,4145,urban,298,82,spring,1,0,0
5146,40,female,22646,master,1,sunbathing,3868,suburban,48,193,winter,0,1,0
40974,24,male,79803,doctorate,1,swimming,3347,urban,265,194,spring,1,1,0
26927,51,male,24055,master,0,sunbathing,3173,urban,218,42,summer,1,0,0
29062,26,female,109651,bachelor,2,sunbathing,1325,rural,210,42,winter,1,1,0
8718,32,non-binary,100984,master,1,swimming,3446,suburban,17,61,winter,1,1,0
27633,44,female,42147,doctorate,8,swimming,4529,suburban,89,108,spring,0,1,0
23794,65,non-binary,34857,high school,0,sunbathing,4264,rural,113,27,spring,0,0,0
49243,41,male,63829,bachelor,9,swimming,1557,urban,70,112,spring,0,1,0
2227,64,male,71098,doctorate,9,skiing,2344,urban,185,142,spring,0,1,0
31321,69,female,99452,bachelor,0,skiing,2561,rural,234,238,winter,0,0,1
36167,66,female,79700,doctorate,3,skiing,2681,urban,241,55,winter,1,0,0
22594,58,male,106892,high school,0,hiking,2748,suburban,50,65,summer,0,1,1
9194,54,female,99970,bachelor,5,hiking,3822,urban,259,177,summer,1,0,0
31116,65,male,83310,master,0,hiking,2194,rural,206,198,summer,1,0,0
47136,21,female,27322,doctorate,0,hiking,3734,suburban,251,280,summer,0,0,1
29568,21,female,36359,high school,6,sunbathing,4544,suburban,116,89,spring,1,1,0
6905,52,female,65552,bachelor,1,skiing,3516,urban,4,74,fall,1,0,1
35930,33,male,68500,doctorate,7,swimming,4889,suburban,119,135,winter,0,0,0
14156,39,female,119661,master,2,hiking,826,rural,10,210,spring,0,0,1
37340,67,male,56088,bachelor,4,swimming,932,urban,194,16,summer,1,0,0
27343,31,male,40420,master,7,skiing,4834,suburban,163,32,summer,1,0,0
14445,61,male,71046,bachelor,8,swimming,873,suburban,13,102,summer,0,0,0
18322,49,male,90148,bachelor,5,swimming,4552,suburban,64,296,winter,0,0,0
6097,22,female,49878,master,9,swimming,1142,rural,196,12,fall,0,0,0
22741,63,male,108462,doctorate,7,hiking,3835,suburban,222,219,fall,1,1,0
50523,53,non-binary,34105,doctorate,7,swimming,4423,urban,87,58,summer,0,0,0
8149,37,non-binary,23136,master,2,swimming,2419,rural,80,272,spring,0,1,0
44532,51,female,33803,bachelor,4,hiking,3395,urban,135,117,spring,1,1,0
43519,65,female,105869,doctorate,0,sunbathing,1017,rural,117,53,winter,0,1,0
17540,31,non-binary,86663,doctorate,1,sunbathing,4139,suburban,38,297,fall,0,0,0
22482,22,male,44748,bachelor,3,sunbathing,1076,suburban,187,45,winter,1,0,0
2890,32,male,99326,master,4,sunbathing,4813,suburban,34,29,summer,0,1,0
43444,35,non-binary,100710,doctorate,2,hiking,1647,rural,222,278,winter,0,1,1
31428,30,male,112903,high school,2,sunbathing,723,urban,121,36,winter,1,0,0
28118,35,male,97525,high school,2,swimming,2207,rural,238,265,spring,1,0,0
46735,64,male,52014,bachelor,3,hiking,4550,suburban,128,136,fall,1,1,1
21262,52,male,54902,high school,7,sunbathing,3439,urban,146,209,summer,0,1,0
28832,22,male,31888,master,1,swimming,1739,rural,87,277,spring,0,0,0
637,53,non-binary,29472,master,3,skiing,2695,rural,125,177,spring,0,0,1
34634,50,female,58760,master,9,sunbathing,4508,suburban,158,180,fall,0,0,0
48536,44,non-binary,80360,high school,8,skiing,2052,suburban,236,232,spring,1,0,0
6113,45,male,54985,bachelor,5,swimming,3571,rural,87,84,spring,1,1,0
42591,29,non-binary,99556,master,1,skiing,4931,urban,68,219,winter,1,0,1
23421,48,female,99280,master,4,hiking,4190,urban,56,156,summer,1,0,1
4548,64,non-binary,102865,high school,7,swimming,2734,urban,259,101,summer,1,1,0
36186,22,female,21570,bachelor,0,hiking,3925,urban,186,161,winter,1,0,0
32073,58,non-binary,47284,bachelor,1,swimming,1621,urban,2,5,spring,1,0,0
11532,35,female,21161,doctorate,8,sunbathing,1070,urban,152,80,fall,0,1,0
45604,55,non-binary,105569,doctorate,8,hiking,2996,rural,87,124,summer,0,0,1
13617,33,non-binary,86465,master,8,sunbathing,1704,rural,108,273,spring,1,1,0
23980,35,female,33267,bachelor,4,swimming,2022,suburban,206,248,summer,1,0,0
37720,50,male,71294,high school,1,swimming,4130,suburban,204,233,winter,1,1,0
1204,44,non-binary,66915,bachelor,4,sunbathing,4770,suburban,201,242,fall,0,0,0
11018,42,female,25225,doctorate,8,swimming,4515,urban,82,68,summer,1,1,0
2080,32,male,30149,high school,9,sunbathing,1990,urban,198,230,summer,0,1,0
14731,25,female,106794,bachelor,5,hiking,4766,suburban,275,287,winter,0,1,1
40231,22,non-binary,29862,high school,4,sunbathing,779,rural,169,219,summer,1,1,0
36758,67,female,108143,bachelor,4,swimming,3050,suburban,273,77,summer,1,1,0
20082,66,non-binary,24686,high school,0,hiking,4165,urban,203,197,spring,1,1,0
51379,23,non-binary,75184,doctorate,9,sunbathing,3758,rural,27,167,winter,1,1,0
24599,64,female,92793,high school,3,sunbathing,3820,rural,227,130,winter,1,0,0
48754,33,male,112178,high school,1,skiing,779,rural,241,283,summer,1,1,1
16912,24,non-binary,103389,doctorate,8,hiking,540,rural,284,164,winter,0,0,0
51569,21,female,116915,bachelor,6,skiing,2153,urban,163,225,winter,0,0,1
16803,34,male,56513,master,1,swimming,3418,urban,0,262,fall,1,0,0
44536,42,female,26211,master,8,skiing,3932,rural,203,57,spring,1,1,0
13350,56,male,23974,high school,1,hiking,3762,urban,232,33,winter,0,1,0
24680,42,female,112471,bachelor,3,skiing,2384,rural,249,199,summer,0,1,0
38880,55,non-binary,52297,doctorate,7,hiking,3783,urban,188,110,summer,1,1,0
33641,20,female,46805,master,3,hiking,1354,urban,201,119,winter,0,1,0
34710,45,male,111572,master,1,hiking,4996,urban,107,298,spring,0,0,1
32945,63,male,95852,high school,7,hiking,1190,suburban,281,105,winter,1,1,0
6277,57,female,51653,master,0,swimming,577,rural,144,262,summer,0,0,0
659,33,female,50756,high school,5,swimming,3297,rural,81,27,spring,1,1,0
13820,32,male,21868,master,8,sunbathing,1873,rural,139,215,summer,0,1,0
41209,32,male,37762,master,2,sunbathing,594,rural,141,194,winter,0,0,0
1106,20,non-binary,75456,high school,1,hiking,969,urban,296,144,spring,1,1,0
48192,42,male,118718,high school,6,hiking,2071,suburban,68,204,spring,1,0,1
43312,51,male,45264,bachelor,9,skiing,2571,rural,12,193,spring,0,1,1
518,47,female,55473,bachelor,8,swimming,1701,suburban,177,208,spring,0,0,0
29124,18,female,97784,bachelor,8,swimming,2930,urban,80,103,winter,1,0,0
31304,26,male,102224,doctorate,6,swimming,4051,rural,216,92,fall,1,1,0
17878,61,non-binary,42336,bachelor,5,skiing,839,rural,97,36,winter,1,0,0
7011,56,female,92440,bachelor,1,skiing,2333,rural,118,66,fall,1,1,0
19386,19,non-binary,94005,high school,1,hiking,1784,suburban,103,99,fall,1,0,0
17777,49,non-binary,92092,doctorate,4,sunbathing,4962,urban,236,91,winter,0,0,0
6880,66,non-binary,22814,master,7,hiking,1825,urban,282,3,fall,1,0,0
2499,64,male,47393,bachelor,7,sunbathing,975,rural,24,21,fall,1,0,0
27723,37,female,24969,master,7,sunbathing,4124,urban,105,177,winter,0,0,0
49312,19,female,22500,high school,7,skiing,1082,rural,52,80,fall,0,0,1
33089,62,male,84220,master,0,sunbathing,4992,urban,6,199,winter,1,1,0
17770,34,male,59745,master,0,hiking,1484,urban,295,65,winter,0,1,0
44881,34,male,79111,high school,2,swimming,2097,rural,113,294,fall,0,0,0
26470,47,male,60196,bachelor,4,sunbathing,4204,suburban,77,1,fall,0,1,0
9519,67,non-binary,57698,bachelor,1,sunbathing,519,suburban,140,1,summer,0,0,0
11143,28,female,32095,master,3,hiking,1336,rural,115,256,spring,1,1,1
4707,24,male,43200,master,6,swimming,4296,suburban,84,196,fall,0,0,0
3187,60,non-binary,55017,high school,6,hiking,4398,suburban,129,296,spring,0,0,1
21000,69,male,82776,high school,4,swimming,4054,rural,74,10,fall,0,0,0
10109,31,non-binary,76870,bachelor,6,hiking,4309,urban,32,235,spring,1,0,1
32347,45,male,30528,master,4,hiking,1284,rural,241,130,summer,0,0,0
23839,24,female,96823,bachelor,9,swimming,4935,rural,83,166,winter,1,1,0
45039,29,female,72928,high school,6,swimming,3181,rural,61,161,winter,1,0,0
46939,69,non-binary,88729,high school,3,skiing,725,suburban,258,11,summer,1,1,0
41243,34,female,61472,master,3,hiking,3184,urban,245,48,fall,1,1,0
47231,52,non-binary,96448,high school,1,skiing,3913,urban,218,156,winter,1,1,0
23520,43,male,23221,bachelor,2,sunbathing,2940,suburban,61,143,fall,1,1,0
44765,23,male,27594,high school,3,swimming,1235,suburban,57,28,winter,1,1,0
38517,56,female,89172,high school,4,sunbathing,3251,urban,246,161,fall,0,0,0
37887,61,male,20537,doctorate,4,skiing,4896,rural,283,142,summer,0,0,0
8502,27,female,37292,master,4,swimming,1533,rural,200,56,spring,1,1,0
11848,45,female,36958,bachelor,6,swimming,4428,urban,52,242,spring,0,0,0
7601,58,male,98116,high school,6,hiking,4688,rural,280,252,fall,1,0,0
37646,45,non-binary,66082,doctorate,4,hiking,1391,urban,91,277,spring,0,0,1
41973,56,female,51288,high school,4,sunbathing,2588,rural,34,296,summer,0,1,0
14804,35,female,100573,bachelor,6,sunbathing,4084,suburban,114,130,fall,1,0,0
29892,63,male,101920,high school,5,sunbathing,1518,rural,132,141,spring,0,1,0
1996,67,non-binary,34308,doctorate,2,skiing,571,rural,23,155,winter,1,0,1
51562,26,male,112086,master,6,sunbathing,3794,suburban,297,56,summer,0,0,0
44346,50,non-binary,32109,high school,8,swimming,1828,rural,237,114,summer,1,1,0
33275,45,male,89739,high school,6,skiing,2851,rural,204,25,summer,1,1,0
6047,38,male,91186,bachelor,5,sunbathing,4317,suburban,223,54,summer,0,0,0
33101,56,non-binary,71977,master,3,hiking,3397,suburban,65,141,spring,1,1,1
47794,48,non-binary,34173,doctorate,9,swimming,4763,rural,167,160,spring,1,0,0
3041,60,male,68880,high school,4,hiking,917,rural,89,105,winter,0,1,1
35827,34,female,44313,bachelor,2,skiing,2390,suburban,286,170,spring,0,0,0
43107,35,non-binary,66011,master,1,sunbathing,3902,urban,3,168,fall,0,0,0
40966,32,female,117788,high school,3,skiing,4966,urban,14,99,fall,1,0,1
7336,32,male,87996,bachelor,6,sunbathing,4184,rural,101,28,summer,1,0,0
39514,63,female,45793,master,7,sunbathing,4730,suburban,283,146,fall,1,1,0
8885,23,non-binary,100281,high school,6,hiking,4707,suburban,84,3,summer,0,1,0
26663,35,male,107745,bachelor,4,sunbathing,1569,suburban,236,2,winter,1,1,0
45319,28,non-binary,71116,doctorate,4,hiking,1818,urban,79,168,summer,1,1,1
42434,38,male,64209,high school,5,swimming,719,rural,298,87,spring,0,1,0
14070,54,non-binary,57836,doctorate,0,hiking,4502,suburban,7,176,spring,0,1,1
6486,24,female,27615,master,8,swimming,648,suburban,81,297,summer,1,0,0
9786,21,female,32755,master,5,skiing,3849,rural,108,298,summer,1,0,1
18798,44,non-binary,70193,master,9,sunbathing,3720,urban,263,230,summer,0,1,0
24554,25,non-binary,27356,master,0,sunbathing,2684,urban,197,189,winter,0,0,0
35603,53,female,81714,high school,4,skiing,4594,suburban,250,57,spring,1,1,0
24250,53,male,57399,doctorate,2,skiing,2803,urban,36,77,summer,1,1,1
23628,64,non-binary,119010,bachelor,7,skiing,573,urban,9,287,spring,0,1,1
17092,37,non-binary,24191,high school,6,sunbathing,1906,suburban,0,277,winter,0,1,0
5862,42,female,83969,high school,6,swimming,2969,suburban,183,111,fall,0,1,0
32663,21,male,45139,bachelor,8,sunbathing,3820,suburban,43,145,fall,0,1,0
34740,27,female,44675,bachelor,0,sunbathing,3776,suburban,204,152,winter,1,0,0
1602,25,female,77187,bachelor,8,skiing,3306,suburban,165,92,spring,1,0,0
11442,21,male,100461,master,9,hiking,900,suburban,284,151,summer,0,1,0
1384,18,female,26814,doctorate,9,hiking,3059,suburban,7,299,fall,1,1,1
17753,53,male,67176,master,8,skiing,3309,rural,17,52,winter,0,1,1
1131,48,male,26984,doctorate,7,skiing,1783,urban,189,11,winter,1,0,0
51101,53,female,43921,master,0,skiing,3104,urban,21,109,spring,0,1,1
29870,49,male,48839,bachelor,1,skiing,3187,suburban,132,281,spring,0,1,1
8322,33,female,34349,bachelor,6,hiking,1482,urban,26,49,spring,0,0,1
33386,68,female,40186,master,0,skiing,4049,urban,265,86,fall,0,1,0
19602,36,female,30970,high school,8,skiing,1346,rural,208,211,spring,0,0,1
31277,53,female,115936,master,8,sunbathing,2551,suburban,13,50,winter,1,0,0
31372,19,female,117203,bachelor,1,hiking,1426,urban,213,197,winter,0,0,0
22404,33,female,113382,bachelor,2,skiing,2171,rural,0,136,summer,0,0,1
9643,63,male,44191,doctorate,9,skiing,2349,suburban,102,2,winter,1,1,0
22074,37,non-binary,110337,high school,2,skiing,3309,suburban,91,261,winter,1,1,1
8256,20,male,57886,bachelor,5,sunbathing,2438,urban,112,130,spring,0,0,0
24195,40,male,96672,master,9,swimming,3101,urban,130,106,spring,1,1,0
1720,63,non-binary,52714,master,2,skiing,2140,rural,13,199,winter,0,0,1
22217,22,male,110269,bachelor,8,sunbathing,2385,rural,53,219,summer,0,1,0
37074,60,male,82906,bachelor,4,swimming,4742,suburban,215,5,spring,0,0,0
50066,51,male,54976,master,4,swimming,3692,suburban,263,136,summer,1,0,0
1828,30,male,65458,high school,3,sunbathing,3342,suburban,48,145,summer,1,1,0
35165,31,non-binary,63921,master,1,hiking,1410,urban,228,265,spring,1,1,1
3093,37,female,37672,high school,5,sunbathing,2485,urban,238,170,summer,1,1,0
49535,54,non-binary,51362,high school,6,sunbathing,1624,suburban,47,286,fall,1,1,0
51448,50,male,43255,high school,4,hiking,4250,suburban,33,180,spring,0,0,1
11308,53,male,43438,bachelor,2,hiking,4502,suburban,32,51,summer,1,1,1
22943,23,non-binary,65767,doctorate,4,sunbathing,1482,suburban,254,41,fall,1,1,0
10872,50,female,92525,doctorate,4,skiing,630,urban,52,291,fall,0,0,1
18693,56,male,30753,bachelor,9,skiing,2237,urban,21,160,winter,0,0,1
21961,18,non-binary,85504,master,6,hiking,4143,rural,116,88,spring,1,0,0
3985,38,male,53724,master,9,skiing,4956,suburban,151,20,spring,1,1,0
28382,32,male,115388,master,3,skiing,1857,suburban,29,200,spring,1,0,1
16411,42,male,84090,master,3,swimming,4982,rural,261,232,spring,1,0,0
6792,28,female,25056,bachelor,0,sunbathing,3176,rural,146,105,spring,0,0,0
11270,24,male,104447,bachelor,2,sunbathing,3905,urban,66,223,winter,1,1,0
30922,61,male,71077,master,2,skiing,4157,urban,133,130,spring,1,0,0
10615,34,female,101904,bachelor,1,sunbathing,2919,suburban,63,168,winter,1,1,0
7746,18,female,108345,bachelor,6,swimming,4573,urban,86,113,winter,0,1,0
20669,52,male,66342,bachelor,0,sunbathing,2943,rural,215,10,summer,0,1,0
45690,28,non-binary,86814,master,7,skiing,4679,urban,130,285,summer,1,1,1
49562,40,non-binary,99114,high school,7,sunbathing,4913,rural,294,47,fall,1,1,0
51185,34,non-binary,91000,doctorate,1,sunbathing,1077,rural,4,171,fall,0,1,0
25761,23,non-binary,72024,doctorate,7,sunbathing,4585,suburban,65,6,winter,0,1,0
1865,31,male,115040,bachelor,7,swimming,2998,rural,125,86,fall,1,1,0
33980,44,non-binary,63788,bachelor,8,skiing,3571,urban,56,295,fall,0,0,1
19334,25,female,118860,bachelor,0,sunbathing,1208,urban,261,136,summer,0,0,0
27974,49,male,87632,master,6,hiking,2657,urban,138,19,summer,0,1,0
20051,41,non-binary,88245,high school,0,hiking,1852,urban,217,26,winter,0,0,0
52116,61,female,110291,high school,4,skiing,810,suburban,166,259,spring,1,0,1
50347,36,female,45152,master,8,hiking,958,urban,132,223,winter,0,0,1
38983,61,male,38874,doctorate,6,hiking,4948,rural,243,192,fall,1,0,0
49882,51,non-binary,60377,high school,0,swimming,692,urban,194,160,fall,1,1,0
1295,63,male,85272,master,4,skiing,3156,suburban,157,218,winter,0,0,1
2429,32,female,108487,master,4,hiking,2384,urban,156,205,fall,0,0,1
37711,20,non-binary,38108,high school,4,hiking,4133,rural,2,275,winter,0,0,1
42058,31,male,74170,master,8,hiking,2197,rural,98,1,summer,0,0,0
42210,52,non-binary,71526,doctorate,5,skiing,4707,urban,232,263,fall,0,1,1
16038,39,non-binary,68488,master,0,skiing,896,suburban,109,206,winter,1,1,1
35539,31,male,72105,doctorate,6,sunbathing,4869,rural,35,39,fall,1,1,0
6878,34,non-binary,99258,high school,9,sunbathing,3088,rural,130,281,spring,0,1,0
40004,42,non-binary,96168,high school,1,swimming,1767,rural,127,103,spring,0,1,0
39810,45,female,29899,high school,7,swimming,3606,rural,38,263,fall,1,0,0
41346,69,female,35883,bachelor,5,swimming,1803,urban,249,219,summer,0,1,0
32105,54,non-binary,60299,master,9,swimming,1141,urban,175,42,spring,1,1,0
16358,40,non-binary,60854,doctorate,3,swimming,681,urban,57,69,summer,1,0,0
36043,32,female,82186,bachelor,0,hiking,2601,urban,131,37,winter,1,1,0
46073,65,female,117022,bachelor,4,sunbathing,2703,rural,171,141,summer,1,0,0
52051,33,male,30600,bachelor,3,hiking,4562,suburban,55,175,summer,0,1,1
6977,32,female,55569,bachelor,0,skiing,524,suburban,11,248,spring,0,1,1
5176,59,non-binary,86722,bachelor,2,hiking,797,rural,196,221,summer,0,0,1
13987,62,non-binary,82026,high school,2,sunbathing,3552,urban,183,241,fall,0,0,0
7531,32,non-binary,59047,doctorate,0,skiing,1516,suburban,114,83,summer,0,0,0
11697,63,non-binary,80599,doctorate,2,swimming,3451,rural,227,226,fall,0,1,0
494,49,male,59805,bachelor,9,hiking,1955,urban,146,97,spring,0,0,0
23994,27,male,56039,high school,7,swimming,2254,suburban,44,190,fall,1,1,0
45478,33,non-binary,102075,high school,2,swimming,4312,suburban,144,27,summer,1,0,0
24433,60,non-binary,46214,master,5,sunbathing,4865,rural,248,195,spring,1,1,0
33272,39,male,52458,master,7,sunbathing,2383,urban,95,210,fall,1,0,0
6132,59,male,115895,doctorate,9,swimming,2122,urban,32,187,spring,0,1,0
21438,40,non-binary,31808,bachelor,1,skiing,3332,suburban,296,156,summer,0,1,0
37540,58,female,119463,high school,0,hiking,3940,rural,186,15,summer,0,0,0
27460,49,female,92224,bachelor,5,swimming,547,urban,63,210,fall,1,1,0
2598,49,male,60606,doctorate,8,skiing,4808,urban,217,293,summer,0,0,1
42038,48,female,21793,bachelor,3,skiing,4382,rural,117,30,summer,0,1,0
41435,55,female,26109,bachelor,4,sunbathing,2714,rural,206,12,summer,0,0,0
40294,28,male,47299,bachelor,2,swimming,2301,rural,297,170,summer,0,1,0
23739,41,male,94297,high school,8,hiking,4831,rural,256,98,winter,1,0,0
50790,65,non-binary,44284,bachelor,1,skiing,4704,suburban,20,190,winter,1,1,1
17421,38,non-binary,72224,master,3,sunbathing,4639,rural,283,288,winter,0,1,0
42417,37,male,36316,master,6,hiking,970,rural,67,181,spring,1,1,1
